#OTU ID	CWB1	MRM1	CWB3	FPP2	FWB2	MWB2	RPP1	RPB2	BRM1	FRR2	CRR1	BRM2	SPB2	BWB3	RRR2	BRR1	CPP2	MRR1	MPB1	SRM1	SPP3	BPP3	BWB1	BRM3	MRM3	SRR2	BWA1	CWA3	RPP3	RPB3	BWB2	CPB3	CWA1	FWA1	SPB3	MPB2	CRM3	RRR1	BWA2	SRM3	RWA3	RRM2	MPP3	FWB1	SWB2	SWA3	CRR3	MRM2	CRR2	RWB1	SRR1	FRM3	FRR3	SWB1	FPB3	RWB2	MRR2	MRR3	RRM1	FWA3	CPP3	MWA3	MPP2	BRR2	BPB1	RRM3	BPB2	CRM2	MPB3	FRR1	SPP1	BPP1	FWA2	SWA1	BWA3	FPP1	CPB2	CWB2	FPP3	MWB3	SWB3	BRR3	RPP2	CPP1	MWB1	SRM2	BPP2	SPB1	FPB1	RWA2	SRR3	RWB3	FWB3	BPB3	RPB1	SWA2	MPP1	FPB2	RWA1	MWA1	CWA2	FRM1	SPP2	RRR3	CRM1	CPB1	FRM2	MWA2
309.1183_344.2704	0.00144586036201	0.00278057053131	0.00132708028609	0.0027045311461	0.00174947940824	0.00413133068198	0.00298999597206	0.0046618404075	0.00170912957242	0.00208537723222	0.00340379977843	0.0020376647565	0.00255488628288	0.00131565273479	0.00343324644654	0.00284695619277	0.0025747862127	0.00362424561073	0.00371512502841	0.00211423313307	0.00266091251814	0.0028756189453	0.00196815125536	0.00129504609164	0.00279100419461	0.00208597399328	0.00320782778494	0.00251271084602	0.00344246699945	0.00268060202368	0.00122120057055	0.00230263355308	0.00347512189118	0.0020308897772	0.00366563254498	0.00480141735646	0.00266793454689	0.00330203860664	0.00319179120096	0.00300505722626	0.00194529906262	0.00168098903611	0.00985073494096	0.00145735739208	0.00202790617038	0.00246428066907	0.00273392976035	0.00296258298008	0.00251912327534	0.00127541055384	0.00244643087559	0.00241053857183	0.0023177771705	0.00218654325283	0.00342186000746	0.00131359378159	0.00418388184467	0.00329651966526	0.00186770410264	0.00269332069363	0.00239922624908	0.00612416019679	0.00714026415412	0.0028844808808	0.00315986978088	0.00182354740337	0.00230443564377	0.00263722469827	0.00453670564665	0.00189666696575	0.00392549093264	0.00378760588774	0.00187525091935	0.00229565763311	0.00335130547039	0.0025352530566	0.00200351077072	0.00128517206782	0.00394257905521	0.00265663600665	0.00242878420296	0.00317802721417	0.0027129618293	0.00303257369564	0.00394926996826	0.00247579626271	0.00339747559216	0.00286410021925	0.00357705542547	0.00201207703212	0.00227867660131	0.00147155910837	0.00149791457401	0.00310041083238	0.00265096845952	0.00214586955733	0.00639568800624	0.00323161204888	0.00173825755897	0.00436444565103	0.00237883001159	0.00236569474232	0.00382832706978	0.00467140512126	0.00277729530915	0.00192689091676	0.00247904007609	0.00546379064396
118.0869_ 23.9214	0.000846172837996	0.00386080526426	0.000733102697002	0.00212898130475	0.00507391460665	0.00973323825199	0.00658638406552	0.00621699087033	0.00368783185362	0.00139376180684	0.00122760323649	0.00337940723645	0.00527499271432	0.00760156217157	0.00775727719528	0.00557089048041	0.00391640779708	0.00478442650058	0.00482880547186	0.00278685780441	0.00183543292428	0.00359280576696	0.00771853640679	0.00311396300864	0.00339222706751	0.00427310703983	0.00203612415175	0.00235792808585	0.00638255807617	0.00586502031091	0.00685761775018	0.000897975673753	0.00146418310515	0.00171387289422	0.00343063240736	0.00623820371953	0.00153289640978	0.00911281490926	0.000132373527573	0.00337763616737	0.00955979767925	0.00724896201891	0.00107381975211	0.00421377826892	0.00456984995063	0.00288684217972	0.00141679875294	0.00377077492832	0.0012773169126	0.00740766529948	0.0044144279199	0.00308942223578	0.00192629686117	0.00527842157008	0.00214617881036	0.00823597753905	0.00431434818905	0.00461074472199	0.00675212058075	0.00192569558672	0.0028687530185	0.00359792580266	0.00301203479697	0.00648474740101	0.00491187553355	0.00561267578228	0.00308391884949	0.00141460297628	0.00306905770785	0.00140100270966	0.00409489722371	0.00464243330664	0.00278829983688	0.00225977415914	0.00300639986341	0.00224340326616	0.00107099158879	0.00066233956721	0.00215284044165	0.00827661793527	0.00499273328169	0.00611115290759	0.00475569152016	0.00374494006337	0.00742344240133	0.00323982891049	0.00539308942886	0.00357200039303	0.00260492802234	0.0084446246574	0.00464784654437	0.00842775305658	0.0027752407769	0.00460061560236	0.00582545862034	0.00297849658741	0.00356339610933	0.00275761740618	0.00831821362398	0.00727402717187	0.00215574832546	0.00147423916329	0.00313032649617	0.00766516702798	0.00105617677804	0.00105974957177	0.00185294106894	0.00639957169616
182.0830_ 36.4809	0.00474060636156	0.026230691459	0.00565690043967	0.0491272504399	0.0517911825216	0.0339177504309	0.0464423200979	0.0384531131888	0.0233991499654	0.0455888867123	0.00829928707145	0.0220088850013	0.0381945713098	0.0247651775107	0.0284972545705	0.0204223528394	0.0272037160004	0.0240838958345	0.0303202175556	0.0240795872977	0.0320747639263	0.0386729385802	0.0250066104081	0.0223788442065	0.0216632024057	0.0327634781988	0.00778185337773	0.019972199861	0.0409313914097	0.0392840572427	0.0277718854858	0.00696938172427	0.000740923488672	0.0264166998537	0.0216378868495	0.0358732452518	0.00426850496709	0.0299869386988	0.000705748580849	0.0243212040887	0.0289198441379	0.0351968856061	0.0145299173577	0.0516734128856	0.0239277683883	0.0388851670902	0.00666805159824	0.0262312514367	0.00889035776285	0.0346765337737	0.0303310278827	0.0495817602962	0.0354905184702	0.0234267846407	0.033022599301	0.0370113722775	0.0259545456361	0.0236062079442	0.0302731168095	0.0230522204372	0.0266772220661	0.0209287993436	0.0356777683265	0.0278794931716	0.0282647298212	0.0352351471052	0.0224861160552	0.00748820793805	0.0336930524467	0.0448820723177	0.0315240603624	0.0359164877179	0.0256644324134	0.0343779655815	0.00736673638091	0.0362426301504	0.00852411769208	0.00465895730985	0.0412213449668	0.0288309606712	0.0313329585647	0.0297693890877	0.0415547373832	0.000517572976797	0.0272301445641	0.0271031503307	0.0420581956898	0.0304329898422	0.0300957181458	0.0254659014744	0.0347521560434	0.0361263889984	0.0569598948568	0.0295512293773	0.0374428225127	0.0328587784911	0.0361547630702	0.0344064118259	0.0279050137719	0.0246760780877	0.0191860678904	0.0388654544844	0.0307805419499	0.0239411290251	0.00769545873769	0.0068774604458	0.05484320578	0.0259639808797
147.0485_ 31.3169	0.000401872735282	0.000894960387637	0.000420000927269	0.00225996131327	0.00108043601016	0.00117426068066	0.00119171745946	0.00101184161951	0.000543101254721	0.00381063984185	0.000487883351488	0.000446966866948	0.000240738025769	0.0007803694651	0.000443634506771	0.000590743236632	0.00056375473849	0.000640229221123	0.000851600586364	0.00171505341732	0.00169047723281	0.000783577131414	0.000842878113618	0.000480888108403	0.000747133910453	0.000790928572982	0.000497827289413	0.00143062453803	0.000352869789889	0.000507462857096	0.00082381589253	0.000527224295867	0.000539077303861	0.000368009862763	0.00114216065339	0.000900632423553	0.000365862320162	0.000492481156661	0.000919119219808	0.000619537167619	0.000682524608262	0.00116553719317	0.00386281939043	0.00255571604135	0.000667430071849	0.000870075109556	0.000491340950238	0.000870475603993	0.000504790163501	0.00134038308666	0.000897451958106	0.000626644389315	0.000121756245113	0.000238589333283	0.000449057287528	0.00130537081727	0.00069921685221	0.0006148353249	0.0010128725356	0.00162913536337	0.000567889898359	0.00112626232345	0.00134871098319	0.000837564600776	0.00066244240944	0.00116601656322	0.0014923257749	0.000341717877379	0.000430313002209	0.00288134463096	0.00195516545494	0.000302073023563	0.000394522852233	0.000876503647772	0.000448345534677	0.00137517808892	0.000669832684263	0.000459068191308	0.00160283182144	0.000954248509002	0.000740507011385	0.000784278449077	0.00108714213659	0.000521192715427	0.000358045022619	0.000550569142498	0.00112855948538	0.000981785665045	0.000418155818936	0.000624410128049	0.00245531285544	0.00124643831949	0.00254013063854	0.00066482585915	0.000991609737087	0.000804396831488	0.00119823349706	0.000404002345488	0.000783171434455	0.00056014895651	0.00135384085335	0.000737148155772	0.00173736230211	0.000330686879442	0.000353934535921	0.000614468462841	0.00372091736361	0.000789182550955
659.9844_ 42.5390	0.000813626767502	0.0026675584361	0.000714711880354	0.000574685968067	0.00396313283673	0.00162550487581	0.00544367668881	0.00679120076362	0.00244990006461	0.00121419247707	0.00113619089856	0.00301359116784	0.000622028195995	0.00133316501624	0.00515150600001	0.0040680676472	0.00178310918108	0.00261555288548	0.00826972569314	0.0100510060943	0.00512810123853	0.0139103175939	0.00143942947269	0.00241875455458	0.00628588103103	0.000491090626747	0.00436075388964	0.000993250058237	0.00524778952379	0.00565646941879	0.00142070514192	0.00144065077975	0.00906126456476	0.00202878767692	0.0100278136589	0.009413837618	0.0012341766755	0.00495127825343	0.0109775344291	0.00311231140838	0.00227474107878	0.00312428022203	0.00857860554383	0.00286744023618	0.00280780787345	0.00257765174553	0.00158046162609	0.00280159327424	0.00147043574243	0.00161239151138	9.54047018998e-05	0.00337708199261	0.000439668064158	0.000181595586325	0.00923059393582	0.00177579881395	0.00275006355447	0.00228940014212	0.000639188939039	0.00375998257943	0.00185291657864	0.0136183682372	0.00692205135756	0.00327859793896	0.00589427598207	0.00354433467985	0.0147642145113	0.000974238486388	0.0114453250336	0.000989088794528	0.00812868350703	0.0108282969587	0.00429596581166	0.00287381228706	0.00150465357715	0.000646597818659	0.00184941529973	0.000752334044193	0.00208755733227	0.0012481367381	0.00301488913031	0.00389864635069	0.0067635565944	0.00163095402941	0.000713736331419	0.000683341344557	0.00564748347896	0.000308652547546	0.00519917261683	0.00260744566011	0.000504247294385	0.00145274715958	0.00255362330417	0.0115996467357	0.00829305284689	0.0025324648696	0.00392670991677	0.00769497360382	0.00285677941511	0.00215015436012	0.00145613882333	0.00338049767921	0.00797482433049	0.00532046732068	0.00141541396419	0.000727609448379	0.00293966506108	0.00229715266408
560.3948_345.5929	0.00573828964207	0.0124251048017	0.00585921101487	0.0139854968655	0.00691019641935	0.0176122637038	0.0191240019285	0.0195580638254	0.00879825454333	0.00803064108675	0.0151082718715	0.00972187422788	0.0130900421799	0.00694024282496	0.0175417700121	0.0124940972881	0.0116302009201	0.0137284530713	0.0167658454063	0.0116608708708	0.0120209738522	0.0195775447288	0.00600008056411	0.00642530514853	0.0124731531477	0.0103045955153	0.014336112569	0.0115599832105	0.0204339763372	0.0134828761171	0.0103524089664	0.00700400424447	0.0194301566823	0.0101374601207	0.0138648869385	0.0185269755359	0.0120275037903	0.0185313656835	0.0162947784466	0.0109731823381	0.0108137217177	0.00829735496982	0.0197706609141	0.00549715423549	0.00714905513952	0.0124724799187	0.0156859749804	0.0141584249758	0.0123248385767	0.00608920347276	0.00950888337206	0.0105289655043	0.00714093993232	0.00784808885972	0.0123459518882	0.00666239510027	0.0148885687432	0.013726077841	0.00831154944935	0.0107540935263	0.011525239851	0.0233186490387	0.015546908555	0.0122470464704	0.0149551626654	0.00751681069179	0.0125499346893	0.0120847569223	0.0194219788915	0.00839365646774	0.016726425811	0.0192900683391	0.00963560360144	0.0140826963489	0.0143600058446	0.0132271207385	0.00613410255005	0.00629472439282	0.0136025950432	0.0122704771642	0.00805832716996	0.0141220624018	0.0185238665457	0.0121594783611	0.0173140631236	0.0112480753267	0.0166555469007	0.0120331346707	0.013280791427	0.0110540367537	0.010957209731	0.00711767881469	0.00692449053414	0.0123597201182	0.012625082862	0.0131304051344	0.0138034295299	0.0114832815043	0.0109224216223	0.0186254773979	0.0116408056728	0.0107730883724	0.0112507168056	0.0178329012234	0.00957966932379	0.00802209820252	0.011283869187	0.0207869879664
265.1546_245.3792	0.00178063581398	0.010286000706	0.00185799122659	0.0101137773524	0.00148040197777	0.00434257740955	0.00649608838725	0.00192678112537	0.00776525857676	0.00428152627013	0.000745974052455	0.00989583146334	0.0143837035988	0.00439808504457	0.00645052647288	0.00646232542019	0.00457534707162	0.0073792962551	0.0053395434349	0.0112494270086	0.00634102298989	0.00933688200227	0.00475061885168	0.00766363249505	0.0104453678773	0.0073551963313	0.00932224724089	0.00158785140314	0.00558633654767	0.00370466892767	0.00407860629377	0.00239948585599	0.00151196782015	0.00336768916895	0.00924795372044	0.00566774686917	0.00118845179645	0.00446684662014	0.0100590960875	0.00798844669503	0.00302837159301	0.00643435785926	0.0153359686699	0.00156684795223	0.00559703558707	0.00788058284233	0.000847463631882	0.0107784620183	0.000641082513337	0.00565059241034	0.00618504576569	0.00178033141318	0.00360943720262	0.00565080501362	0.00176063909056	0.00578662664081	0.00577312188505	0.00729532925964	0.00609564122216	0.00277534564141	0.0056171796275	0.00996184096501	0.0127883315318	0.00647815111439	0.00578614249619	0.00491961650501	0.00638472237827	0.00108132332457	0.0051672971321	0.00240366642209	0.00917748385673	0.00811025410497	0.00269267026465	0.00717186685427	0.00502728457015	0.0136429343167	0.000491715428014	0.00188811317682	0.0100457208084	0.0028180502446	0.00361808689215	0.00689799057391	0.00805201570044	0.00442073443345	0.00565642047158	0.00771026749459	0.00830318632108	0.00790338509162	0.0015093496669	0.00274313300892	0.00766965808514	0.00522188717446	0.00265729869515	0.00507662811028	0.00292916309958	0.00682429760042	0.0163745131831	0.00141601753067	0.00301699957368	0.0118591691346	0.00131521600909	0.00210008752702	0.0152375749087	0.00722987208654	0.00078278430559	0.00262100132897	0.00288094640923	0.00708352011116
165.0600_ 39.0564	0.000837258008549	0.0116249848274	0.000459518288728	0.0147979199967	0.0115460061266	0.0163204150487	0.0152401615512	0.0134003186082	0.00625896606501	0.00936948136025	0.000242808102544	0.0060666255848	0.0127887086962	0.0105449161435	0.0107607894779	0.00721633735621	0.00666183295396	0.00802683097056	0.0112346667017	0.00431257546079	0.013593402685	0.00938340754458	0.0107523211907	0.00582328608594	0.00982118651713	0.00940128412164	0.00144507050004	0.00628857438618	0.0143382659857	0.0139991968695	0.0108646229932	0.00040812146506	0.00272988367643	0.00660803672027	0.00442143806687	0.0130284534722	0.000369091189717	0.0117251681631	0.000103325766518	0.00725231786384	0.00942110498476	0.0154160584003	0.00356414999055	0.0117800704907	0.00830128787988	0.0137818548853	0.00190810830736	0.0111986449504	0.000690475675565	0.0181073430672	0.0105590627532	0.00907049914287	0.00652820735867	0.0104769497051	0.00832430404676	0.0180133793269	0.00955777265211	0.00763421666387	0.0143673585783	0.00565501821376	0.00654014495559	0.00502511007897	0.0171134688858	0.0110482267146	0.00736782597123	0.0150544930795	0.0053465334452	0.000451794643837	0.0113583201289	0.0094001632912	0.00871800783884	0.013152570914	0.00661059119952	0.0120096901614	0.00157233629679	0.012576041195	0.000680178355482	0.000315161164346	0.0141301341971	0.0143287373301	0.0104460885702	0.0115507545606	0.0148076153645	0.00512824890714	0.0136704019224	0.00823847312278	0.0137266179369	0.011346210497	0.0082096048417	0.00857626212271	0.0134181522295	0.01800364567	0.0117627194252	0.00857423687265	0.0131028137595	0.0106383183916	0.0148859344186	0.00932791576351	0.00783526839899	0.0064090561088	0.00601589898179	0.00966830551315	0.00967877322193	0.00900020755439	0.000289988477564	0.00131286172008	0.00994740467735	0.00675114181267
381.0802_ 21.5450	0.00643647908846	0.0030704078472	0.00632758854194	0.00562618499238	0.00842222213685	0.0025579596764	0.00393554674326	0.00511583339286	0.00241131910116	0.00670667637903	0.00439002095321	0.00221714740689	0.00595760596283	0.0016089749875	0.00428436384784	0.00195704689105	0.00577506176709	0.00229692311124	0.00599976363039	0.00694543218369	0.00545207090087	0.00453444365673	0.00175760317173	0.00211145668858	0.00376965494873	0.00310185557836	0.00307141664337	0.0187566059032	0.00407476152797	0.00423502264165	0.00165984988251	0.00620065287135	0.0259384974309	0.00904988265432	0.00570389595338	0.00575568559605	0.00712745685292	0.00493579372057	0.00401618530911	0.00571096184387	0.00340949859123	0.00172616963742	0.00592971988206	0.00828042490304	0.003707904408	0.00800905487651	0.00416193332931	0.00235878649347	0.00422831663577	0.0018446145486	0.00289354129537	0.00598734900671	0.00709590201906	0.0043254172325	0.00584181072884	0.0025791751981	0.00243480529317	0.00223949203836	0.000538229344375	0.00884487368787	0.00541559817745	0.00606995383752	0.00651558638619	0.00311464258654	0.00490873314962	0.00222877383754	0.00629001496288	0.0065284230918	0.00532091423402	0.00559433295753	0.00538654973152	0.00545773314402	0.00677666053457	0.00681288045153	0.00319166909181	0.00601878925596	0.00743908790793	0.00643846655829	0.00715888769121	0.00174483304053	0.00441482813368	0.00251584191621	0.00368107491815	0.00575010375556	0.00187429357252	0.00539778602183	0.00576709495727	0.00629954419678	0.00549153286541	0.0032418504846	0.0041391936821	0.00209373862122	0.00860548844261	0.00519124823569	0.00631041526954	0.00717927528735	0.0046412531645	0.00572613707397	0.00296737143457	0.00372788940098	0.0173214684775	0.00656258377188	0.00649201549556	0.00470117918395	0.0054257061154	0.0065285932668	0.00611372312074	0.00360269407782
130.0762_ 26.5473	0.000715974669992	0.00223711798406	0.00107821886187	0.000689091841387	0.000553870673486	0.0053472205242	0.00458735831955	0.0030050296445	0.00128087021549	0.000521522381956	0.007860020957	0.00128867049624	0.00225819819461	0.00586310551332	0.00191654045402	0.000805136991934	0.00068198185866	0.00158208522207	0.00435257418118	0.00066675333566	0.00137528452448	0.00125327706766	0.00740606672172	0.00163472972888	0.00570852131436	0.00147844964458	0.00145635116217	0.0256094076151	0.00472634928011	0.00266312340998	0.00715281344546	0.00282376374087	0.00170785386868	0.000943427941163	0.00139304761222	0.00543060316657	0.0224012826258	0.0125475215863	0.000196144419056	0.0135577544185	0.0106050413414	0.00103217894479	0.000186626648256	0.000496761896136	0.00856436191644	0.0148122574122	0.000190099890044	0.00205336453567	0.00018267240992	0.00499983155746	0.00131333115861	0.000495577149899	0.000434782595601	0.00133936079512	0.00680403507635	0.00625767316721	0.00150163012608	0.00154392425936	0.00138098786688	0.00100838006227	0.00132453855976	0.00268652985555	0.00159042361938	0.00109276341994	0.00673278565654	0.00106023301469	0.0016050295337	0.0166661277631	0.00371854902333	0.000463208122925	0.00143382248503	0.00141138967655	0.00102463490145	0.0126870931051	0.00272399748213	0.000969577073144	0.00289295784169	0.000894853960679	0.000992547318576	0.00478444604677	0.0094298179593	0.00109371749285	0.00527713569122	0.0020858811556	0.00168839559865	0.0143713945795	0.00185301141557	0.00201610691705	0.00554953885955	0.0110606673816	0.00172329384195	0.00871164517367	0.000582783763286	0.00626631509594	0.00870162754494	0.0139104001754	0.00179758141416	0.00607117320382	0.00886327018117	0.0106168132481	0.0306559424118	0.000485474398603	0.00154234281319	0.00180829044123	0.0163262745423	0.00124929791042	0.000520423494146	0.00421695220361
