CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
466	721	4	0.7574	0.493
486	544	4	0.7411	-8.012
688	857	4	0.7398	-106.077
466	542	4	0.776	56.542
542	544	4	0.733	-65.054
688	847	4	0.7161	57.022
542	857	4	0.7891	-56.543
544	613	4	0.8526	-2.479
542	613	4	0.6937	-67.533
544	721	4	0.7108	9.005
613	688	4	0.6911	117.067
466	544	4	0.8657	-8.512
544	857	4	0.8727	8.511
486	613	4	0.693	-10.490
486	542	4	0.6565	57.043
613	721	4	0.6724	11.484
613	857	4	0.8314	10.990
466	613	4	0.8344	-10.991
542	847	4	0.6589	106.556
751	1008	5	0.8292	14.015
428	750	5	0.9532	0.000
174	477	5	0.8934	14.016
109	428	5	0.9636	0.000
109	174	5	0.9442	-0.000
109	751	5	0.7987	0.001
108	174	5	0.7765	0.000
428	1008	5	0.9239	14.016
170	477	5	0.9012	-0.000
170	1008	5	0.9284	-0.000
667	750	5	0.9337	0.001
174	667	5	1.0	-0.001
428	477	5	0.9036	14.016
174	1008	5	0.9102	14.016
667	1008	5	0.9093	14.017
750	1008	5	0.9096	14.016
108	750	5	0.7755	0.001
477	751	5	0.809	-14.015
108	109	5	0.7832	0.000
665	1008	5	0.9385	-0.001
109	477	5	0.9041	14.016
477	750	5	0.9028	-14.016
170	174	5	0.9117	-14.017
109	170	5	0.9364	14.016
170	428	5	0.9277	-14.016
108	170	5	0.8032	14.017
170	750	5	0.927	-14.016
174	428	5	0.9447	0.001
428	667	5	0.9447	-0.001
477	665	5	0.9063	0.001
477	667	5	0.8934	-14.017
174	665	5	0.9182	14.017
174	751	5	0.8023	0.001
428	751	5	0.8073	0.000
109	750	5	0.9631	0.000
109	667	5	0.9442	-0.001
108	428	5	0.7856	0.001
108	1008	5	0.7888	14.016
750	751	5	0.7955	0.000
108	751	5	0.8866	0.001
170	667	5	0.9127	-14.017
108	477	5	0.7963	14.016
665	751	5	0.8334	-14.016
667	751	5	0.8023	0.001
109	665	5	0.9216	14.017
477	1008	5	0.9181	0.000
108	667	5	0.7765	-0.001
170	751	5	0.8307	-14.016
428	665	5	0.9248	14.017
665	750	5	0.9153	-14.016
170	665	5	0.9244	0.001
665	667	5	0.9182	-14.018
108	665	5	0.8032	14.017
109	1008	5	0.9237	14.016
174	750	5	0.9337	0.001
161	182	6	0.7062	-63.995
161	178	6	0.7728	-48.001
104	378	6	0.7651	-33.985
111	433	6	0.912	0.000
354	433	6	0.9186	-0.001
178	182	6	0.8283	-15.995
161	354	6	0.7904	-48.001
111	354	6	0.9073	0.001
354	378	6	0.9173	0.000
104	160	6	0.7241	18.009
104	354	6	0.7943	-33.986
182	354	6	0.824	15.995
178	378	6	0.917	0.000
161	433	6	0.7759	-48.001
104	433	6	0.7744	-33.986
104	178	6	0.7805	-33.986
111	378	6	0.9109	0.001
111	178	6	0.9141	0.001
111	161	6	0.7748	48.001
182	378	6	0.8177	15.995
100	160	6	1.0	-0.000
104	182	6	0.7085	-49.980
182	433	6	0.8394	15.994
104	111	6	0.7708	-33.986
100	104	6	0.7241	-18.009
378	433	6	0.9274	-0.001
111	182	6	0.8262	-15.994
178	354	6	0.917	0.000
161	378	6	0.7604	-48.000
104	161	6	0.9312	14.015
178	433	6	0.9281	-0.001
457	701	7	0.7658	0.986
82	493	7	0.7721	-23.015
