#OTU ID	BWB3	BRR1	RRR2	SPB2	BRM2	RPB2	RPP1	MWB2	FWB2	CRR1	FRR2	BRM1	SWA3	CWB1	FPP2	CWB3	MRM1	BWA1	RPB3	RPP3	CWA3	MRM3	BRM3	SRR2	BPP3	BWB1	CPP2	SPP3	MPB1	MRR1	SRM1	RRM2	RWA3	SRM3	MPB2	RRR1	CRM3	SPB3	FWA1	BWB2	CPB3	FWA3	MRR3	RRM1	MRR2	FRR3	RWB2	FPB3	SWB1	CRR2	RWB1	CRR3	MRM2	SWB2	FRM3	SRR1	FWB1	FWA2	BPP1	FRR1	SPP1	MPB3	BWA3	BPB2	CRM2	MPP3	BRR2	RRM3	BPB1	CPP3	MPP2	MWA3	BPP2	SWA2	CWA1	CPP1	RPP2	SRM2	MWB1	CPB2	FPP1	FPP3	BRR3	MWB3	SWB3	BWA2	CWB2	RPB1	MPP1	RWB3	SRR3	BPB3	FWB3	RWA2	SPB1	FPB1	SWA1	MWA2	FRM2	CPB1	CRM1	RRR3	SPP2	FPB2	RWA1	CWA2	FRM1	MWA1
230.9906_ 32.4120	0.00300069086666	0.00521569541804	0.0137390352934	0.00519742812419	0.00220198694897	0.0123721980021	0.00851498865809	0.00429207320553	0.00143268486082	0.00179427899262	0.00304178601656	0.00261512460967	0.00625770204396	0.00230473926124	0.00396033989276	0.00220115549893	0.00262166699448	0.00487276913152	0.0131861769677	0.00865536322714	0.0103186543174	0.00313826310128	0.00228414978434	0.00175662947509	0.00530855555614	0.00318411946869	0.00436354058286	0.00180591119377	0.0134897700382	0.00303514994597	0.00237840013537	0.00147369211352	0.00612705347945	0.00304338320606	0.0144765161816	0.0101267147778	0.00238097065157	0.00279126408512	0.0065523531496	0.00314661038104	0.00340541600242	0.00586785730819	0.00320632998383	0.000799603014827	0.00150885293946	0.00315565910254	0.0031812787797	0.00965811793542	0.00507371099157	0.00146675999008	0.00222922361387	0.00145026123672	0.00332824377489	0.00718712966533	0.000670890626934	0.0017487123199	0.00159905113078	0.0106668104218	0.00733817991734	0.00281974261759	0.0020727461417	0.0076196428757	0.00450144705309	0.00743206401325	0.00152658973591	0.00137112006128	0.00583853397577	0.00131342247375	0.0121781932224	0.00306168977688	0.00212924180255	0.00854911191662	0.0081104738136	0.00624656514027	0.0190684872961	0.0038964754348	0.0087344127343	0.00312418720766	0.00414514947999	0.00315415799147	0.00376865274536	0.00415956555195	0.00657611198982	0.0030375098288	0.00632099230374	0.00394240222742	0.00233744142507	0.0122132771403	0.00220607116097	0.00334669578373	0.00253671720417	0.00724988044113	0.00604567521174	0.00613849556205	0.00234133266106	0.0101852202754	0.00686513394647	0.0073524776633	0.00323054359128	0.00408392749129	0.00143124710773	0.00964907068892	0.00187797391136	0.00989712993599	0.00510605799168	0.0120872755988	0.000738289768927	0.00698039463793
175.1173_ 24.3160	0.00176013568687	0.00281235504086	0.00279476800495	0.00297985185189	0.00171854205612	0.00449851814518	0.00513339539602	0.00191772945982	0.00223222595811	0.00172348335516	0.00673188595582	0.00169707202171	0.00290699262231	0.000634171804738	0.00615229742051	0.00171833261819	0.00175464136363	0.000404910477259	0.00517905456759	0.00688803586461	0.00538019332457	0.00160808184555	0.00175609693237	0.00435404357184	0.00300486202468	0.00168573951343	0.00398082598806	0.00904121273173	0.00257768243558	0.00273187289348	0.00196654624299	0.00622819587359	0.00311117630809	0.00144541946363	0.00268618115877	0.00194100263626	0.00171769978681	0.00341929798254	0.00220329750301	0.00180302230008	0.00155790467702	0.00241007984102	0.00213174751896	0.00433245332055	0.00296601193908	0.00747313382176	0.00251187816103	0.000871519528276	0.00185367965043	0.00133795116906	0.00556879087213	0.00126740611158	0.00219295796768	0.00166089984139	0.00273086818737	0.00257993351575	0.00229538252924	0.00251197243334	0.00295101789975	0.00586641013247	0.00744735228702	0.00239947711841	0.000388843344912	0.00412400527379	0.00171963898554	0.0109550115596	0.00288357947642	0.00417003367028	0.00228768544757	0.0038419193086	0.00481984717504	0.00184006951365	0.00355692598972	0.00315669809551	0.0046356910934	0.00421047951536	0.00578826880459	0.00269796095372	0.00164811622728	0.00171097159684	0.00497367843548	0.00604076500961	0.00395310188493	0.00186243575578	0.00209844084505	0.00365025962715	0.000904523542962	0.00465108444139	0.00508353776756	0.00120461561523	0.00424521727036	0.00214622207907	0.00637426003032	0.00300306516462	0.00251138875894	0.00138814002474	0.00381655658637	0.00223265430948	0.00643155417536	0.00248590383215	0.00142506056098	0.00264937838315	0.00930737098826	0.00133438835169	0.00286509865541	0.00588048868156	0.00237513624866	0.00211964447181
266.1638_240.9588	0.0139688363331	0.0124224069232	0.0097511431978	0.0205050079959	0.0124552358942	0.00983562360231	0.0227669823037	0.012231593089	0.0145856301801	0.00492474235341	0.00708350357089	0.0112668295005	0.00735939888988	0.00668670201688	0.011719103239	0.0278706679685	0.00871581816688	0.0104426005475	0.0132929623804	0.0212156045479	0.00724932841231	0.0126624046451	0.00910378513366	0.00550811688324	0.0158509788829	0.010770064105	0.00892649244592	0.0106374500357	0.0111093541608	0.00974482012606	0.0112570324449	0.00743200212107	0.00968118665823	0.0111794395174	0.013087150226	0.0056634114558	0.00590493195998	0.0141876231664	0.005539261984	0.0151646831204	0.00749414399772	0.00585989516793	0.0104876768276	0.0142592753117	0.00854223588461	0.0115248852597	0.00855641421482	0.014109545347	0.0149786645051	0.00660955614606	0.00472294103088	0.0102850916699	0.0122766190884	0.0140872505254	0.0057480917796	0.0044715964459	0.0130993463157	0.00942690995093	0.0149649082118	0.0111260978809	0.0124818091766	0.0142190556142	0.00655071020318	0.023406970747	0.00903863875175	0.0169288379265	0.00465593549583	0.0140839162947	0.0155444207316	0.0153497539548	0.0132431646309	0.0112440802727	0.0171831691315	0.0039531421761	0.0153353581354	0.0160092459024	0.0217314421126	0.00962251374898	0.0121652421411	0.00710141178599	0.0124482824023	0.0115031479316	0.00848071921579	0.00940001045336	0.0147985965054	0.0134366872238	0.00686249095503	0.0119664047686	0.0154183830274	0.00625464002775	0.010142719386	0.0124205077212	0.00860875309116	0.00565987050489	0.0162861649306	0.0173821349389	0.0126537738867	0.00986501369667	0.00787579241316	0.0119805133455	0.00371628154237	0.0115502169891	0.0114454655065	0.0129259300977	0.00839083429693	0.00812279757249	0.00592814808174	0.00581258759216
124.0870_793.5034	0.0275688062366	0.0339196868804	0.0403584161745	0.0403783073997	0.0253178187639	0.041521972685	0.0412775633642	0.0412536472958	0.0583433037207	0.0646353758933	0.054993298116	0.0247452324543	0.0399850396909	0.0635847758468	0.0497402028736	0.0584814059177	0.0256209670179	0.0176392367649	0.0420622200194	0.0388812019757	0.0964240567442	0.0261692875354	0.0265848453554	0.037902909106	0.0392251209833	0.029314250186	0.0697145557123	0.0417145314823	0.0394954002492	0.0213913925963	0.0327757707165	0.0297350312024	0.0247739368576	0.0324829168169	0.0398360137985	0.0418258065091	0.0788172521107	0.0356616652734	0.0433834025926	0.0297920148557	0.0724110560537	0.0471406716387	0.0226724701846	0.0292532566928	0.0225293671586	0.0587068233188	0.0310098038781	0.0422156738113	0.0341593677237	0.0628238622594	0.0308421270623	0.062812207423	0.0253181495774	0.0333491663554	0.0492656623546	0.0303987121449	0.0616492137211	0.044143493556	0.0374336682264	0.0531800303964	0.0438366807251	0.0400286803183	0.0182659925786	0.0401737589715	0.0796423227659	0.0366639614045	0.0307580668818	0.0291270774882	0.0339754319557	0.0731077453344	0.0293409959704	0.0386803227543	0.0364388048692	0.039387252401	0.123957971677	0.0723675173943	0.0434101466038	0.0346487789642	0.0348982895355	0.0827593851415	0.0463351549182	0.0519278375114	0.0334098710133	0.0286567345068	0.0327664585981	0.0310764132113	0.0629738585323	0.042632701169	0.0316546650457	0.0329951195192	0.0378277673913	0.038055946375	0.065685775646	0.0217044147101	0.0339720881899	0.0432964688245	0.040732915811	0.0338443112912	0.0525751999116	0.0848632651132	0.0601099312065	0.0423816850696	0.0441371311802	0.0428256814609	0.0178474915838	0.0999560538086	0.0499245252403	0.0315925927443
182.0827_ 41.2286	0.0300729440325	0.0270740617455	0.036443440545	0.0453271925426	0.028059961701	0.040313447516	0.0528480664424	0.0473243016049	0.0634318263855	0.0166789316306	0.054866840811	0.030772908294	0.0464030234356	0.00544604193226	0.056472147965	0.00465946213877	0.029801221597	0.0100143515103	0.0452547775069	0.0451097335431	0.0249887975306	0.0258239520591	0.0330218424099	0.0401755885962	0.044720815188	0.0315240123327	0.037337978992	0.0447183750266	0.0367436882363	0.028768589548	0.0294487389424	0.0379898149772	0.0312540080254	0.0286555066588	0.0394060431717	0.0368950437952	0.00659725506555	0.0248427491367	0.0326290868406	0.0328404692934	0.00564338266572	0.0284161984104	0.0313947964358	0.0341143918695	0.0304854519987	0.0436399160805	0.0440219141695	0.0365681731649	0.028297425603	0.0213210913126	0.0401742529793	0.00985490497118	0.0300753741938	0.0290661245426	0.0601188664591	0.0322181398473	0.0636814949606	0.0357150960452	0.042947516883	0.0562620881726	0.0354949278356	0.0398728579554	0.00901195820453	0.0287953463292	0.000401882254603	0.0160612018422	0.0359590220527	0.0380558206295	0.0332644167537	0.0354866923211	0.0369608794798	0.0220433419587	0.0489107977346	0.0407394510376	0.0135477859457	0.0261053974195	0.0493289606997	0.0329908019854	0.0345072504737	0.00576607887074	0.0453329147321	0.0520904781795	0.0372254737023	0.0306432557476	0.0365463780333	0.00106096046569	0.0163096104908	0.0437121612522	0.0461194081232	0.0424427001547	0.041578087534	0.036889271588	0.0684641569305	0.0262935705572	0.0364644075561	0.0371961922688	0.0420433307932	0.0312339071996	0.0643649989427	0.00698137752113	0.0101634383963	0.0294568878738	0.0406982351228	0.040516480032	0.025469829783	0.0249805682809	0.0622636052277	0.0288050392445
852.5145_348.9032	0.0199646557514	0.0339095741331	0.0433259467755	0.0558205870041	0.0281596803168	0.0412655070385	0.0489050416289	0.0349650161026	0.0260665666221	0.0595021716209	0.0366219408005	0.028441861075	0.0339837499926	0.0359415344561	0.0444907708518	0.0304271869344	0.0278441744332	0.0321752209557	0.0381725594648	0.0522147210945	0.0561659514635	0.0294675888262	0.0253853334513	0.0337387570797	0.0509564615872	0.0212780000675	0.0576248359322	0.0467218219136	0.0404973804961	0.0278814620339	0.036024243145	0.0209121657143	0.0250367452334	0.0366036520511	0.0411864274744	0.0443946060981	0.0510132399974	0.0452723811088	0.0354611571197	0.0222647208255	0.0425284196474	0.037333035299	0.0342115048214	0.0196727899013	0.0299250329329	0.0366665819234	0.0161809237593	0.0510795219781	0.0312757567086	0.0510474780805	0.0160840975886	0.0520364018272	0.0334484034601	0.0317647043214	0.0384678535295	0.0295807308917	0.0261554344324	0.0351514746215	0.0448135346693	0.0349962049782	0.0398309936052	0.0415229496437	0.0285137111062	0.0427490725256	0.0510523962236	0.0483023446185	0.0283717714651	0.0219913457496	0.0355251110621	0.0565119603972	0.0378389641306	0.0411977917817	0.0491556872116	0.0358092865487	0.0520482043298	0.061631616158	0.0521346808732	0.0383481439261	0.0309051543748	0.0468623670953	0.0477372249657	0.0495899364959	0.0315755343941	0.0265893348202	0.0324611316741	0.0538451616564	0.032729591882	0.0375216890946	0.040989337998	0.017347810169	0.0343545157553	0.0415004305365	0.0278591928245	0.0241417713678	0.0476435765896	0.0527281325627	0.0357935880014	0.0361393948162	0.0390901674081	0.0634188648414	0.0442561373408	0.0395240311943	0.0484351557377	0.049052844678	0.0187927649546	0.0514964190243	0.0386590185149	0.035213383834
130.0601_ 33.3341	0.00711970846493	0.00465505083333	0.0135741163588	0.0026799039983	0.00837738708824	0.009953339489	0.0052200884184	0.00746079777168	0.00628000430848	0.0119329170284	0.000627659229557	0.00662551209255	0.0176759823672	0.016546963766	0.00669881483481	0.0194908381668	0.00447874905265	0.00349966906236	0.00974471915269	0.0052088226008	0.0320419536268	0.00201154440008	0.00738955356776	0.00181292060386	0.00144927109705	0.00933628887974	0.00093604213157	0.00191741049989	0.0121266084969	0.00356877479307	0.00794211794251	0.00204092829159	0.0114609900944	0.0159738934224	0.0107817598916	0.0106633442359	0.0346226551022	0.00159937671394	0.00116529287877	0.00941713770775	0.0186219317338	0.00124301812924	0.00370986957779	0.0023028325761	0.00205725868596	0.000534618168546	0.00744297587784	0.00552956441348	0.0109252661278	0.0158227100269	0.00579251949326	0.0151130918374	0.0053327560562	0.0116242819524	0.00356378487346	0.00154387897649	0.00513089466774	0.00738103713994	0.00961271179244	0.000580656260027	0.0016144311694	0.00818314742054	0.00333235101527	0.002055374133	0.0272330460717	0.00141142082065	0.0100627933329	0.00216678729502	0.00792373355094	0.000504332033367	0.00591510242343	0.0104958827313	0.0135456237548	0.0172465956704	0.0010185881623	0.000904754397267	0.00626440294205	0.0174933108159	0.00626295609762	0.020871643944	0.00121276393575	0.00125425952215	0.00963075397347	0.00563976910763	0.0109988238492	0.000647252391326	0.0176668070308	0.0101586077351	0.00674448681948	0.00680837284696	0.00206177890424	0.00270784920529	0.000700489337743	0.0114201509222	0.00933620798471	0.00600864634939	0.0155159749334	0.012895460424	0.000610778621965	0.00216169719019	0.0220804629738	0.0101670775156	0.00176824843314	0.00557079356021	0.00808980008685	0.03991452897	0.000575916950618	0.0123932871819
398.3421_346.1769	0.00437770634902	0.00653914760059	0.00968252018013	0.00651246607002	0.00495722896157	0.0224568700431	0.00841306781787	0.0097516800714	0.00266979094851	0.00974371810667	0.00321325643865	0.00413628833879	0.00754417695593	0.0055032363773	0.00769641343381	0.00331041183929	0.00904882850392	0.00866992121353	0.00849448738065	0.0161108250567	0.00899158765635	0.00614450308397	0.00445602665507	0.0059026563727	0.00661335007595	0.0040209434844	0.00824136118584	0.00561120551843	0.0155939964416	0.00909462347173	0.00612986109496	0.00276256033184	0.00659455666664	0.00613948814377	0.0194099617642	0.00917659954005	0.0108160343612	0.00689414340523	0.0175039477516	0.00371765255577	0.00668714235986	0.0144061924536	0.00912580653897	0.00422258283011	0.0105196278024	0.00536702931406	0.00274080803871	0.00799444477148	0.00524160033774	0.00982707531533	0.00484654086585	0.010550504077	0.00553861781243	0.00477956512502	0.00725702798098	0.00559935261853	0.00488146417474	0.00706591428729	0.00863645702748	0.00327291642349	0.00770152991692	0.0181905471703	0.00846701166294	0.00734695161669	0.0114834177825	0.00827445530887	0.00668070214634	0.00471787033179	0.013909473485	0.0078410845043	0.00754512473313	0.0204624371073	0.00646075660778	0.0158733519727	0.0137704814507	0.00824126490461	0.00850142264555	0.00640823108007	0.00948572737847	0.00702885722572	0.00970955037183	0.00901521441508	0.00710140759081	0.00846833172195	0.00492702850611	0.0104839798437	0.00683233441649	0.00789842286589	0.00696014141935	0.00275818579965	0.00632728814427	0.0100043768021	0.0050837875587	0.006110641208	0.00536990791191	0.0173824450991	0.0068942542794	0.019530647829	0.00769681921015	0.00825873579798	0.00760691742497	0.0101870871793	0.00702270057249	0.00904935940721	0.00518672304941	0.00921724209387	0.00682901405342	0.0192696727201
560.3948_347.4864	0.00842770191963	0.0127922576743	0.0239682305334	0.0155345338861	0.0104647904459	0.0251965504743	0.0217617578629	0.0166553024315	0.00809710312617	0.0229370577601	0.00808602108951	0.014254748718	0.0148838444393	0.00877164903299	0.0160764349985	0.00956205724765	0.0141164140542	0.0184489302982	0.015532116631	0.0271187446236	0.0144636085116	0.0148688131552	0.00948107114433	0.012635813193	0.0153471552754	0.00756386453877	0.0159628264617	0.0121853544204	0.0203177630733	0.0163988515085	0.0142609562975	0.00895576340563	0.011686513376	0.0129287225423	0.025027553495	0.0228004450653	0.0185892978732	0.0133947243275	0.0125214757503	0.00807722250007	0.0104891879551	0.0171210022075	0.0182548345206	0.00798400411544	0.017487678425	0.00878065558957	0.00635463377409	0.0163355426583	0.0094797777006	0.0183216174648	0.00705460362196	0.0231827529429	0.0178672762185	0.0097033069651	0.0127665792284	0.0111781137847	0.00677460574398	0.0124521485908	0.0178418329039	0.00882688007595	0.0152564447409	0.0229842578609	0.0175670426898	0.0160712376873	0.0197469230231	0.026690035133	0.0130844692037	0.00811855272063	0.0190357022149	0.0153311555268	0.016320459571	0.0305300080308	0.0173037405847	0.0162795308177	0.0244703060836	0.017117323676	0.0219893841805	0.0136915089683	0.0162870985583	0.00965096864406	0.0165447136177	0.015202449767	0.01439254582	0.0144640899636	0.00939913383735	0.0244961395576	0.0112429566363	0.0147389972457	0.0162380949673	0.00658827262575	0.0131093974358	0.015428836018	0.00832303865351	0.0114133047918	0.0129354683775	0.0181335646628	0.0172227603071	0.0274409698171	0.0132429572262	0.0138808742088	0.0141181481827	0.023748503619	0.0128985995805	0.0135225419065	0.00996925576934	0.0151565157913	0.0127800852569	0.0266655213607
853.5183_348.8119	0.0189705357889	0.0294382382101	0.0366014683144	0.048227053417	0.0246949939013	0.0297261397093	0.0440027396764	0.0300534336778	0.0239595130363	0.0496129060125	0.0319767424638	0.0234915992798	0.0295367003063	0.0182070666078	0.0394652536671	0.0234785442648	0.0234898478346	0.0290888971997	0.0333991300842	0.0443003091434	0.0421536771271	0.0247131748679	0.0237851755676	0.030006003178	0.043595942049	0.0173198797179	0.0456893730274	0.0381007454514	0.0336881915618	0.0242135843504	0.0298244323448	0.0201593303329	0.0185993262228	0.0300657470415	0.0341199536957	0.0372376003133	0.0427833474799	0.0410338018619	0.0276747033632	0.018303303711	0.0359421184013	0.0279891636214	0.0280092547862	0.0190721972774	0.0289341564817	0.0271154039092	0.0152315982266	0.042568609878	0.0226545596575	0.0441988264219	0.0133435834777	0.0456880030805	0.0274164795436	0.0264860363998	0.0303020801575	0.0244554461465	0.0151394652777	0.0277059982098	0.0365091491078	0.0309400925628	0.0354398958399	0.0346019280284	0.0276316880119	0.0354835527694	0.0433074764661	0.0430845628902	0.0223841493415	0.0150097803649	0.0298665156646	0.0421435282921	0.0319082453094	0.0387833151756	0.0421233742319	0.0297190779664	0.0489459308568	0.0445740168575	0.0458108890724	0.0314691012821	0.025688828715	0.0376528730369	0.040106502816	0.0365327030798	0.024599822971	0.0253145762435	0.0260040388483	0.0420453667478	0.0254207435417	0.0290075036772	0.0349268941024	0.0167446256702	0.0304474869847	0.0367461233356	0.0253764638711	0.0177283231277	0.0364787239171	0.0437018483012	0.0300046389281	0.0344796780846	0.030709867508	0.0448049675171	0.0323676810564	0.0379903627487	0.0416903617965	0.0441008524216	0.0172289873878	0.043216342556	0.0308898174972	0.0309511690375
